#RF00001  120 1428 5S_ribosomal_RNA Published;_PMID:11283358
RF01380  20 46 Human_immunodeficiency_virus_type_1_major_splice_donor Published;_PMID:18160437
RF01381  24 46 HIV-1_stem-loop_3_Psi_packaging_signal Published;_PMID:18713870
RF01382  21 48 HIV-1_stem-loop_4_packaging_signal Published;_PMID:18713870
RF01383  87 26 GRIK4_3_prime_UTR_element Predicted;_CMfinder
RF01384  92 12 Invasion_gene-associated_RNA Predicted;_RNAalifold
RF01385  130 24 isrA_Hfq_binding_RNA Predicted;_WAR
RF01386  43 8 isrB_Hfq_binding_RNA Predicted;_WAR
RF01387  124 36 isrC_Hfq_binding_RNA Predicted;_WAR
RF01388  52 8 isrD_Hfq_binding_RNA Predicted;_WAR
RF01389  295 10 isrF_Hfq_binding_RNA Predicted;_WAR
RF01390  286 14 isrG_Hfq_binding_RNA Predicted;_RNAalifold
RF01391  282 16 isrH_Hfq_binding_RNA Predicted;_RNAalifold
RF01392  102 64 isrI_Hfq_binding_RNA Predicted;_WAR
RF01393  80 14 isrJ_Hfq_binding_RNA Predicted;_RNAalifold
RF01394  78 114 isrK_Hfq_binding_RNA Predicted;_CMfinder
RF01395  355 12 isrL_Hfq_binding_RNA Predicted;_RNAalifold
RF01396  144 38 isrN_Hfq_binding_RNA Predicted;_WAR
RF01397  202 16 isrO_Hfq_binding_RNA Predicted;_RNAalifold
RF01398  149 18 isrP_Hfq_binding_RNA Predicted;_RNAalifold
RF01399  163 16 isrQ_Hfq_binding_RNA Predicted;_RNAalifold
RF01400  131 18 istR_Hfq_binding_RNA Predicted;_CMfinder
RF01401  91 28 rseX_Hfq_binding_RNA Predicted;_RNAalifold
RF01402  284 24 STnc150_Hfq_binding_RNA Predicted;_WAR
RF01403  66 16 STnc290_Hfq_binding_RNA Predicted;_RNAalifold
RF01404  77 12 STnc440_Hfq_binding_RNA Predicted;_CMfinder
RF01405  125 156 STnc490k_Hfq_binding_RNA Predicted;_WAR
RF01406  286 20 STnc500_Hfq_binding_RNA Predicted;_WAR
RF01407  215 28 STnc560_Hfq_binding_RNA Predicted;_WAR
RF01408  143 16 sraL_Hfq_binding_RNA Predicted;_RNAalifold
RF01409  95 10 STnc250_Hfq_binding_RNA Predicted;_WAR
RF01410  88 62 BsrC Predicted;_CMfinder
RF01411  112 26 BsrF Predicted;_WAR
RF01412  260 16 BsrG Predicted;_WAR
RF01413  90 96 microRNA_miR-430 Predicted;_CMfinder;_Gardner_PP
RF01414  59 46 Class_I_RNA Published;_PMID:15333696;_Gardner_PP
RF01415  76 44 Flavivirus_3'UTR_stem_loop_IV Published;_PMID:19064258
RF01416  160 10 NrrF_RNA Published;_PMID:17351036
RF01417  290 20 Retroviral_3'UTR_stability_element Published;_PMID:19091866
RF01418  69 60 HIV_pol-1_stem_loop Published;_PMID:18974280
RF01419  23 618 Antisense_RNA_which_regulates_isiA_expression Predicted;_PFOLD;_Osuch_I
RF01420  104 14 Small_nucleolar_RNA_snoR113 Predicted;_RNAalifold;_Osuch_I
RF01421  88 52 small_nucleolar_RNA_snoR114 Predicted;_RNAalifold;_Osuch_I
RF01422  87 14 small_nucleolar_RNA__snoR116 Predicted;_RNAalifold;_Osuch_I
RF01423  73 16 small_nucleolar_RNA_snoR117 Predicted;_RNAalifold;_Osuch_I
RF01424  94 20 small_nucleolar_RNA_snoR118 Predicted;_Osuch_I
RF01425  86 8 small_nucleolar_RNA_snoR121 Predicted;_RNAalifold;_Osuch_I
RF01426  106 12 small_nucleolar_RNA_snoR126 Predicted;_RNAalifold;_Osuch_I
RF01427  140 10 small_nucleolar_RNA_snoR127 Predicted;_RNAalifold;_Osuch_I
RF01428  95 14 small_nucleolar_RNA_snoR128 Predicted;_RNAalifold;_Osuch_I
RF01429  123 8 small_nucleolar_RNA_snoR130 Predicted;_RNAalifold;_Osuch_I
RF01430  152 14 small_nucleolar_RNA_snoR134 Predicted;_RNAalifold;_Osuch_I
RF01431  144 16 small_nucleolar_RNA_snoR135 Predicted;_RNAalifold
RF01432  77 8 small_nucleolar_RNA_snoR143 Predicted;_RNAalifold
RF01433  63 10 small_nucleolar_RNA_snoR137 Predicted;_RNAalifold
RF01434  169 10 small_nucleolar_RNA_snR3 Predicted;_RNAalifold;_Osuch_I
RF01435  69 8 small_nucleolar_RNA_snR5 Predicted;_RNAalifold;_Osuch_I
RF01436  67 8 small_nucleolar_RNA_snR33 Predicted;_RNAalifold;_Osuch_I
RF01437  69 6 small_nucleolar_RNA_snR10 Predicted;_RNAalifold;_Osuch_I
RF01438  65 10 small_nucleolar_RNA_snR35 Predicted;_RNAalifold;_Osuch_I
RF01439  165 8 small_nucleolar_RNA_snR36 Predicted;_RNAalifold;_Osuch_I
RF01440  77 8 small_nucleolar_RNA_snR42 Predicted;_RNAalifold;_Osuch_I
RF01441  169 8 small_nulceolar_RNA_snR46 Predicted;_RNAalifold;_Osuch_I
RF01442  159 10 small_nucleolar_RNA_snR90 Predicted;_RNAalifold;_Osuch_I
RF01443  49 6 small_nucleolar_RNA_snR91 Predicted;_RNAalifold;_Osuch_I
RF01444  145 10 small_nucleolar_RNA_snR92 Predicted;_RNAalifold;_Osuch_I
RF01445  101 8 small_nucleolar_RNA_snR94 Predicted;_RNAalifold;_Osuch_I
RF01446  223 8 small_nucleolar_RNA_snR95 Predicted;_RNAalifold;_Osuch_I
RF01447  119 6 small_nucleolar_RNA_snR98 Predicted;_RNAalifold;_Osuch_I
RF01448  144 8 small_nucleolar_RNA_snR93 Predicted;_RNAalifold
RF01449  115 8 small_nucleolar_RNA_snR100 Predicted;_RNAalifold;_Osuch_I
RF01450  101 6 small_nucleolar_RNA_snR96 Predicted;_RNAalifold;_Osuch_I
RF01451  53 8 small_nucleolar_RNA_snR97 Predicted;_RNAalifold;_Osuch_I
RF01452  186 14 small_nucleolar_RNA_snR99 Predicted;_RNAalifold
RF01453  87 8 3'TE-DR1_translation_enhancer_element Published;_PMID:19577782
RF01454  124 10 5'UTR_enhancer_element Published;_PMID:19577782
RF01455  87 42 Stem_loopII_regulatory_element_in_POLB Published;_PMID:17704138
RF01456  141 26 Vibrio_regulatory_RNA_of_OmpA Published;_PMID:18681937
RF01457  112 16 Listeria_sRNA_rli22 Predicted;_RNAalifold
RF01458  99 18 Listeria_snRNA_rli23 Predicted;_RNAalifold
RF01459  97 10 Listeria_sRNA_rliE Predicted;_WAR
RF01460  239 8 Listeria_sRNA_rliH Predicted;_WAR
RF01461  159 16 Listeria_sRNA_rli22 Predicted;_RNAalifold
RF01462  95 12 Listeria_sRNA_rli26 Predicted;_RNAalifold
RF01463  100 10 Listeria_sRNA_rli27 Predicted;_RNAalifold
RF01464  225 12 Listeria_sRNA_rliA Predicted;_RNAalifold
RF01465  63 8 rli31 Predicted;_RNAalifold
RF01466  85 14 Listeria_sRNA_rli34 Predicted;RNAalifold
RF01467  47 14 Listeria_sRNA_rli36 Predicted;_RNAalifold
RF01468  149 14 Listeria_sRNA_rli32 Predicted;RNAalifold
RF01469  533 10 Listeria_sRNA_rli33 Predicted;_RNAalifold
RF01470  151 44 Listeria_sRNA_rli38 Predicted;_RNAalifold
RF01471  99 10 Listeria_sRNA_rliB Predicted;_RNAalifold
RF01472  165 10 Listeria_sRNA_rli40 Predicted;_RNAalifold
RF01473  257 14 Listeria_sRNA_rli41 Predicted;_RNAalifold
RF01474  172 12 Listeia_sRNA_rli42 Predicted;_RNAalifold
RF01475  79 16 Listeria_snRNA_rli45 Predicted;RNAalifold
RF01476  221 14 Listeria_sRNA_rliF Predicted;_WAR
RF01477  139 10 Listeria_sRNA_rli43 Predicted;_RNAalifold
RF01478  512 22 Listeria_sRNA_rli47 Predicted;RNAalifold
RF01479  83 8 Listeria_sRNA_rli48 Predicted;RNaalfold
RF01480  96 16 Listeria_sRNA_rli52 Predicted;_RNAalifold
RF01481  174 14 Listeria_sRNA_rli53 Predicted;_RNAalifold
RF01482  151 18 AdoCbl_riboswitch Published;_PMID:19246383
RF01483  101 16 Listeria_sRNA_rli56 Predicted;RNAalifold
RF01484  89 12 Listeria_sRNA_rli59 Predicted;_WAR;_cmfinder
RF01485  107 12 Listeria_sRNA_rli61 Predicted;_RNAalifold
RF01486  91 6 Listeria_sRNA_rli62 Predicted;RNAalifold
RF01487  163 12 Listeria_sRNA_rliI Predicted;RNAalifold
RF01488  164 14 Listeria_sRNA_rli49 Predicted;_RNAalifold
RF01489  72 16 Listeria_sRNA_sbrA Predicted;_WAR
RF01490  122 22 Listeria_snRNA_rli51 Predicted;_RNAalifold
RF01491  529 14 Listeria_sRNA_rli54 Predicted;RNAalifold
RF01492  190 46 Listeria_sRNA_rli28 Predicted;_RNAalifold
RF01493  250 12 Listeria_sRNA_rli37 Predicted;_RNAalifold
RF01494  328 22 Listeria_sRNA_rliD Predicted;_RNAalifold
RF01495  148 20 Human_acetyl-coA_cholesterol_acyltransferase_mRNA Published;_PMID:18542101
RF01496  204 42 A._fumigatus_sRNA_Afu_182 Predicted;_clustal_alifold;
RF01497  118 56 ALIL_pseudoknot Published;_PMID:18474594
RF01498  104 10 A._fumigatus_snoRNA_Afu_190 Predicted;_Osuch_I
RF01499  1 16 A._fumigatus_snoRNA_Afu_191 Predicted;_Osuch_I
RF01500  151 16 A._fumigatus_snoRNA_Afu_198 Predicted;_Osuch_I
RF01501  80 10 A._fimigatus_snoRNA_Afu_199 Predicted;_Osuch_I
RF01502  298 106 Fungal_signal_recognition_particle_RNA Published;_PMID:19838050
RF01503  71 8 A._fumigatus_sRNA_Afu_203 Predicted;_WAR;_Clustal_alifold;
RF01504  25 14 A._fumigatus_sRNA_Afu_254 Predicted;_WAR;_Mafft_alifold;
RF01505  104 14 A._fumigatus_snoRNA_Afu_264 Predicted;_Osuch_I
RF01506  84 24 A._fumigatus_snoRNA_Afu_294 Predicted;_Osuch_I;
RF01507  94 10 A._fimigatus_snoRNA_Afu_298 Predicted;_Osuch_I
RF01508  150 12 Barley_yellow_dwarf_virus_5'UTR Published;_PMID:11389856
RF01509  93 24 A._fumigatus_snoRNA_Afu_300 Predicted;_Osuch_I
RF01510  65 8 M._florum_riboswitch Published;_PMID:17911257
RF01511  108 14 A._fumigatus_snoRNA_Afu_304 Predicted;_Osuch_I
RF01512  324 24 A._fumigatus_sRNA_Afu_309 Predicted;_WAR;_Clustal_alifold;
RF01513  98 14 A._fumigatus_snoRNA_Afu_335 Predicted;_Osuch_I
RF01514  104 18 A._fumigatus_snoRNA_Afu_513 Predicted;_Osuch_I
RF01515  106 14 A._fumigatus_snoRNA_Afu_514 Predicted;_Osuch_I
RF01516  66 8 Human_herpesvirus_1_small_nucleolar_RNA Predicted;_Osuch_I
RF01517  111 12 iscR_stability_element Published;_PMID:19407815
RF01518  91 50 NoRC_assoicated_RNA,_pRNA Published;_PMID:18600236
RF01519  59 8 Cauldobacter_sRNA_CC0196 Predicted;_RNAalifold;
RF01520  35 6 caulobacter_sRNA_CC0734 Predicted;Mafft_pfold;
RF01521  51 8 caulobacter_sRNA_CC1840 Predicted;Clustal_alifold;
RF01522  73 12 Trypanosomatid_snoRNA_TB10Cs1H1 Predicted;_WAR;
RF01523  64 14 Trypanosomatid_snoRNA_TB10Cs1H2 Predicted;_WAR;
RF01524  74 14 Trypanosomatid_snoRNA_TB10cs1H3 Predicted;_WAR;
RF01525  70 12 Trypanosomatid_snoRNA_TB10Cs2H1 Predicted;_WAR;
RF01526  79 10 C._elegans_snoRNA_ceN106 Predicted;_Osuch_I
RF01527  91 6 caulobacter_sRNA_CC3510 Predicted;_Clustal_alifold;
RF01528  107 6 caulobacter_sRNA_CC3513 Predicted;_Mafft_alifold;
RF01529  57 6 Cauldobacter_sRNA_CC3552 Predicted;RNAalifold;
RF01530  137 8 caulobacter_sRNA_CC3664 Predicted;_Clustal_alifold;
RF01531  68 12 Trypanosomatid_snoRNA_TB10Cs3H1 Predicted;_WAR;
RF01532  74 16 Trypanosomatid_snoRNA_TB10Cs3H2 Predicted;_WAR;
RF01533  68 10 Trypanosomatid_snoRNA_TB10Cs4H3 Predicted;_WAR;
RF01534  67 8 Trypanosomatid_snoRNA_TB10Cs4H4 Predicted;_WAR;
RF01535  79 14 Trypanosomatid_snoRNA_TB10Cs5H2 Predicted;_WAR;
RF01536  73 18 Trypanosomatid_snoRNA_TB10Cs5H3 Predicted;_WAR;
RF01537  72 18 Trypanosomatid_snoRNA_TB11Cs2H1 Predicted;_WAR;
RF01538  73 12 Trypanosomatid_snoRNA_TB11Cs3H1 Predicted;_WAR;
RF01539  72 14 Trypanosomatid_snoRNA_TB11Cs4H1 Predicted;_WAR;
RF01540  66 16 Trypanosomatid_snoRNA_TB11Cs4H2 Predicted;_WAR;
RF01541  77 10 Trypanosomatid_snoRNA_TB11Cs4H3 Predicted;_WAR;
RF01542  72 8 Trypanosomatid_snoRNA_TB11Cs5H1 Predicted;_WAR;
RF01543  70 14 Trypanosomatid_snoRNA_TB11Cs5H2 Predicted;_WAR;
RF01544  67 14 Trypanosomatid_snoRNA_TB11Cs5H3 Predicted;_WAR;
RF01545  70 8 Trypanosomatid_snoRNA_TB3Cs2H1 Predicted;_WAR;
RF01546  67 16 Trypanosomatid_snoRNA_TB6Cs1H1 Predicted;_WAR;
RF01547  65 14 Trypanosomatid_snoRNA_TB6Cs1H3 Predicted;_WAR;
RF01548  74 12 Trypanosomatid_snoRNA_TB6Cs1H4 Predicted;_WAR;
RF01549  66 16 Trypanosomatid_snoRNA_TB8Cs2H1 Predicted;_WAR;
RF01550  64 18 Trypanosomatid_snoRNA_TB8Cs3H1 Predicted;_WAR;
RF01551  72 8 Trypanosomatid_snoRNA_TB8Cs4H2 Predicted;_WAR;
RF01552  87 14 Trypanosomatid_snoRNA_TB9Cs1H2 Predicted;_WAR;
RF01553  23 8 Trypanosomatid_snoRNA_TB9Cs1H3 Predicted;_WAR;
RF01554  69 12 Trypanosomatid_snoRNA_TB9Cs2H1 Predicted;_WAR;
RF01555  69 16 Trypanosomatid_snoRNA_TB9Cs3H1 Predicted;_WAR;
RF01556  64 10 Trypanosomatid_snoRNA_TB9Cs3H2 Predicted;_WAR;
RF01557  63 12 Trypanosomatid_snoRNA_TB9Cs4H1 Predicted;_WAR;
RF01558  72 14 Trypanosomatid_snoRNA_TB9Cs4H2 Predicted;_WAR;
RF01559  67 8 D._discoideum_snoRNA_DdR1 Predicted;_Osuch_I
RF01560  82 8 D._discoideum_snoRNA_DdR10 Predicted;_Osuch_I
RF01561  76 8 D._discoideum_snoRNA_DdR11 Predicted;_Osuch_I
RF01562  76 8 D._discoideum_snoRNA_DdR12 Predicted;_Osuch_I
RF01563  81 8 D._discoideum_snoRNA_DdR13 Predicted;_Osuch_I
RF01564  66 8 D._discoideum_snoRNA_DdR14 Predicted;_Osuch_I
RF01565  114 8 D._discoideum_snoRNA_DdR15 Predicted;_Osuch_I
RF01566  79 8 D._discoideum_snoRNA_DdR16 Predicted;_Osuch_I
RF01567  71 8 D._discoideum_snoRNA_DdR17 Predicted;_Osuch_I
RF01568  148 8 D._discoideum_snoRNA_DdR18 Published;_PMID:15333696
RF01569  1 6 D._discoideum_snoRNA_DdR2 Predicted;
RF01570  279 8 D._discoideum_signal_recognition_particle Published;_PMID:15333696
RF01571  60 10 D._discoideum_class_II_sRNA Published;_PMID:15333696
RF01572  107 8 D._discoideum_snoRNA_DdR4 Predicted;_Osuch_I
RF01573  82 8 D._discoideum_snoRNA_DdR5 Predicted;
RF01574  87 8 D._discoideum_snoRNA_DdR6 Predicted;_Osuch_I
RF01575  99 8 D._discoideum_snoRNA_Dd7 Predicted;_Osuch_I
RF01576  89 8 D._discoideum_snoRNA_DdR8 Predicted;_Osuch_I
RF01577  627 8 Plasmodium_RNase_P Published;_PMID:17901154
RF01578  265 10 Plasmodium_RNA_of_unkown_function_RUF1 Predicted;_WAR;_Clustal_alifold;
RF01579  155 10 Plasmodium_RNA_of_unknown_function_RUF2 Predicted;_WAR;_Clustal_alifold;
RF01580  188 10 Plasmodium_RNA_of_unkown_function_RU6-F3 Predicted;_WAR;_Clustal_alifold;
RF01581  157 44 Plasmodium_RNA_of_unkown_function_RUF6-5 Predicted;_WAR;_Clustal_alifold;
RF01582  278 8 RNA_of_unknown_function_RUF4 Predicted;_WAR;_Clustal_alifold;
RF01583  5 8 small_nucleolar_RNA_snoR01 Predicted;_WAR;_Clustal_alifold;
RF01584  161 8 small_nucleolar_RNA_snoR03 Predicted;_RNAalifold;
RF01585  89 12 small_nucleolar_RNA_snoR07 Predicted;_Osuch_I
RF01586  7 8 small_nucleolar_RNA_snoR09 Predicted;_Osuch_I
RF01587  78 12 small_nucleolar_RNA_snoR10 Predicted;_Osuch_I
RF01588  9 10 small_nucleolar_RNA_snoR13 Predicted;_Osuch_I
RF01589  204 8 small_nucleolar_RNA_snoR11 Predicted;_RNAalifold;
RF01590  129 10 small_nucleolar_RNA_snoR14 Predicted;_Osuch_I
RF01591  132 10 small_nucleolar_RNA_snoR15 Published;_PMID:17901154
RF01592  81 10 small_nucleolar_RNA_snoR17 Predicted;_Osuch_I
RF01593  5 6 small_nucleolar_RNA_snoR16 Predicted;_Osuch_I
RF01594  7 6 small_nucleolar_RNA_snoR18 Predicted;_Osuch_I
RF01595  103 12 small_nucleolar_RNA_snoR19 Predicted;_Osuch_I
RF01596  81 8 small_nucleolar_RNA_snoR20 Predicted;_Osuch_I
RF01597  84 10 small_nucleolar_RNA_snoR22 Predicted;_Osuch_I
RF01598  85 8 small_nucleolar_RNA_snoR23 Predicted;_Osuch_I
RF01599  81 8 small_nucleolar_RNA_snoR24 Predicted;_Osuch_I
RF01600  71 12 small_nucleolar_RNA_snoR25 Predicted;_Osuch_I
RF01601  17 8 small_nucleolar_RNA_snoR26 Predicted;_Osuch_I
RF01602  143 12 small_nucleolar_RNA_snoR27 Predicted;_RNAalifold;
RF01603  86 10 small_nucleolar_RNA_snoR29 Predicted;_Osuch_I
RF01604  9 8 small_nucleolar_RNA_snoR28 Predicted;_Osuch_I
RF01605  75 10 small_nucleolar_RNA_snoR30 Predicted;_Osuch_I
RF01606  146 10 small_nucleolar_RNA_snoR31 Predicted;_RNAalifold;
RF01607  133 12 C._elegans_snoRNA_ceN100 Predicted;_RNAalifold;
RF01608  143 12 C._elegans_snoRNA_ceN80 Predicted;_RNAalifold;
RF01609  110 12 C._elegans_snoRNA_ceN103 Predicted;_Osuch_I
RF01610  156 14 C._elegans_snoRNA_ceN104 Predicted;_RNAalifold;
RF01611  71 10 C._elegans_snoRNA_ceN108 Predicted;_Osuch_I
RF01612  143 10 C._elegans_snoRNA_ceN105 Predicted;_RNAalifold;
RF01613  68 10 C._elegans_snoRNA_ceN109 Predicted;_Osuch_I
RF01614  127 10 C._elgans_snoRNA_ceN110 Predicted;_RNAalifold;
RF01615  71 10 C._elegans_snoRNA_ceN111 Predicted;_Osuch_I
RF01617  132 8 C._elegans_snoRNA_ceN113 Predicted;_Osuch_I
RF01618  64 10 C._elegans_snoRNA_ceN114 Predicted;_Osuch_I
RF01619  160 8 C._elegans_sRNA_ceN115 Predicted;_WAR;_Clustal_alifold;
RF01620  138 12 C._elegans_snoRNA_ceN125 Predicted;_RNAalifold;
RF01621  131 10 C._elegans_snoRNA_ceN126 Predicted;_RNAalifold;
RF01622  77 8 C._elegans_snoRNA_ceN22 Predicted;_Osuch_I
RF01623  101 10 C._elegans_sRNA_ceN23-1 Predicted;_WAR;_cmfinder;
RF01624  81 8 C._elegans_snoRNA_ceN27 Predicted;_Osuch_I
RF01625  89 12 C._elegans_snoRNA_ceN28 Predicted;_Osuch_I
RF01626  74 12 C._elegans_snoRNA_ceN30 Predicted;_Osuch_I
RF01627  132 14 C._elegans_snoRNA_ceN36-1 Predicted;_RNAalifold;
RF01628  138 10 C._elegans_snoRNA_ceN38 Predicted;_RNAalifold;
RF01629  132 12 C._elegans_snoRNA_ceN39 Predicted;_RNAalifold;
RF01630  123 12 C._elegans_snoRNA_ceN40 Predicted;_Osuch_I
RF01631  139 10 C._elegans_snoRNA_ceN41 Predicted;_RNAalifold;
RF01632  132 10 C._elegans_snoRNA_ceN42 Predicted;_RNAalifold;
RF01633  130 12 C._elegans_snoRNA_ceN43 Predicted;_RNAalifold;
RF01634  75 10 C._elegans_snoRNA_ceN44 Predicted;_Osuch_I
RF01635  128 12 C._elegans_snoRNA_ceN45 Predicted;_RNAalifold;
RF01636  126 10 C._elegans_snoRNA_ceN46 Predicted;_RNAalifold;
RF01637  156 16 C._elegans_snoRNA_ceN47 Predicted;Osuch_I;
RF01638  126 14 C._elegans_snoRNA_ceN48 Predicted;_RNAalifold
RF01639  135 10 C._elegans_snoRNA_ceN49 Predicted;_RNAalifold;
RF01640  140 10 C._elegans_snoRNA_ceN51 Predicted;_RNAalifold;
RF01641  75 10 C._elegans_snoRNA_ceN53 Predicted;_Osuch_I
RF01642  69 10 C._elegans_snoRNA_ceN54 Predicted;_Osuch_I
RF01643  126 12 C._elegans_sRNA_ceN56 Predicted;_WAR;_cmfinder;
RF01644  139 10 C._elegans_snoRNA_ceN59 Predicted;_WAR;_Clustal_alifold;
RF01645  140 10 C._elegans_snoRNA_ceN58 Predicted;_RNAalifold;
RF01646  70 10 C._elegans_snoRNA_ceN63 Predicted;_Osuch_I
RF01647  77 12 C._elegans_snoRNA_ceN61 Predicted;_Osuch_I
RF01648  66 10 C._elegans_snoRNA_ceN65 Predicted;_Osuch_I
RF01649  135 10 C._elegans_snoRNA_ceN67 Predicted;_RNAalifold;
RF01650  122 8 C._elegans_snoRNA_ceN48 Predicted;_RNAalifold
RF01651  108 12 C._elegans_snoRNA_ceN69 Predicted;_Osuch_I
RF01652  72 10 C._elegans_snoRNA_ceN70 Predicted;_Osuch_I
RF01653  132 14 C._elegans_snoRNA_ceN80 Predicted;_RNAalifold;
RF01654  136 16 C._elegans_snoRNA_ceN82 Predicted;_RNAalifold;
RF01655  131 14 C._elegans_snoRNA_ceN84 Predicted;_RNAalifold;
RF01656  134 30 C._elegans_sRNA_ceN72-3_ceN74-2 Predicted;_WAR;
RF01658  127 10 C._elegans_snoRNA_ceN81 Predicted;_RNAalifold;
RF01659  123 8 C._elegans_snoRNA_ceN86 Predicted;_Osuch_I
RF01660  141 16 C._elegans_snoRNA_ceN88 Predicted;_RNAalifold;
RF01661  127 12 C._elegans_snoRNA__ceN92 Predicted;_RNAalifold;
RF01662  79 12 C._elegans_snoRNA_ceN89 Predicted;_Osuch_I
RF01663  132 12 C._elegans_sRNA_ceN93 Predicted;_WAR;
RF01664  129 12 C._elegans_snoRNA_ceN101 Predicted;_RNAalifold;
RF01665  77 8 Pseudomonas_sRNA_P13 Predicted;_WAR;_Clustal_alifold;
RF01666  73 12 Drosophila_rox2_ncRNA Published;_PMID:18039876
RF01667  60 10 Drosophila_rox1_ncRNA Published;_PMID:18039876
RF01668  73 20 Pseudomonas_sRNA_P10 Predicted;_WAR;_Clustal_alifold;
RF01669  146 12 Pseudomonas_sRNA_P14 Predicted;_WAR;_Clustal_alifold;
RF01670  283 10 Pseudomonas_sRNA_P17 Predicted;_WAR;_Clustal_alifold;
RF01671  136 12 Pseudomonas_sRNA_P18 Predicted;_WAR;_Clustal_alifold;
RF01672  139 18 Psudomonas_sRNA_P2 Predicted;_WAR;_Clustal_alifold;
RF01673  215 30 PhrS Predicted;_WAR;_cmfinder;
RF01674  194 12 Pseudomonas_sRNA_P27 Predicted;_WAR;_Clustal_alifold;
RF01675  419 42 Pseudomonas_sRNA_CrcZ Predicted;_WAR;_Clustal_alifold;
RF01676  80 12 Pseudomonas_sRNA_P31 Predicted;_WAR;_cmfinder;
RF01677  63 8 Pseudomonas_sRNA_P35 Predicted;_RNAalifold;
RF01678  63 8 Pseudomonas_sRNA_P37 Predicted;_RNAalifold;
RF01679  62 8 Pseudomonas_sRNA_P36 Predicted;_RNAalifold;
RF01680  72 8 Pseudomonas_sRNA_P5 Predicted;_WAR;_Mafta_alifold;
RF01681  216 8 Pseudomonas_sRNA__P4 Predicted;_WAR;_Clustal_alifold;
RF01682  79 8 Pseudomonas_sRNA_P8 Predicted;_WAR;_Clustal_alifold;
RF01683  511 10 Pseudomonas_sRNA_P6 Predicted;_RNAalifold;
RF01684  58 110 MALAT1-associated_small_cytoplasmic_RNA/MEN_beta_RNA Published;_PMID:19041754;
#RF01685  109 182 6S-Flavo_RNA Published;_PMID:20230605;
RF01686  37 10 Acido-1_RNA Published;_PMID:20230605;
RF01687  27 176 Acido-Lenti-1_RNA Published;_PMID:20230605;
RF01688  65 182 Actino-pnp_RNA Published;_PMID:20230605;
RF01689  87 290 AdoCbl_variant_RNA Published;_PMID:20230605;
RF01690  37 192 Bacillaceae-1_RNA Published;_PMID:20230605;
RF01691  19 64 Bacillus-plasmid_RNA Published;_PMID:20230605;
RF01692  133 80 Bacteroidete_tryptophan_peptide_leader_RNA Published;_PMID:20230605;
RF01693  53 84 Bacteroidales-1_RNA Published;_PMID:20230605;
RF01694  39 82 Bacteroides-1_RNA Published;_PMID:20230605;
RF01695  88 916 C4_antisense_RNA Published;_PMID:20230605;
RF01696  37 32 Chlorobi-1_RNA Published;_PMID:20230605;
RF01697  47 40 Chlorobi-RRM_RNA Published;_PMID:20230605;
RF01698  43 8 Chloroflexi-1_RNA Published;_PMID:20230605;
#RF01699  175 390 Clostridiales-1_RNA Published;_PMID:20230605;
RF01700  105 14 Collinsella-1_RNA Published;_PMID:20230605;
RF01701  29 540 Cyano-1_RNA Published;_PMID:20230605;
RF01702  101 116 Cyano-2_RNA Published;_PMID:20230605;
RF01703  163 10 Dictyoglomi-1_RNA Published;_PMID:20230605;
RF01704  79 1258 Downstream_peptide_RNA Published;_PMID:20230605;
#RF01705  103 436 Flavo-1_RNA Published;_PMID:20230605;
RF01706  53 78 Gut-1_RNA Published;_PMID:20230605;
RF01707  11 258 JUMPstart_RNA Published;_PMID:20230605;
RF01708  75 118 L17_ribosomal_protein_downstream_element Published;_PMID:20230605;
RF01709  25 78 Lacto-rpoB_RNA Published;_PMID:20230605;
RF01710  41 14 Lacto-usp_RNA Published;_PMID:20230605;
RF01711  13 22 Lnt_RNA Published;_PMID:20230605;
RF01712  57 70 Methylobacterium-1_RNA Published;_PMID:20230605;
RF01713  19 16 Moco-II_RNA Published;_PMID:20230605;
RF01714  23 8 Ocean-V_RNA Published;_PMID:20230605;
RF01715  137 14 Pedo-repair_RNA Published;_PMID:20230605;
RF01716  25 132 PhotoRC-I_RNA Published;_PMID:20230605;
RF01717  29 896 PhotoRC-II_RNA Published;_PMID:20230605;
RF01718  63 34 Polynucleobacter-1_RNA Published;_PMID:20230605;
RF01719  47 40 Pseudomon-1_RNA Published;_PMID:20230605;
RF01720  45 34 Pseudomon-Rho_RNA Published;_PMID:20230605;
RF01721  63 38 Pseudomon-groES_RNA Published;_PMID:20230605;
RF01722  31 18 Pyrobac-1_RNA Published;_PMID:20230605;
RF01723  61 32 Rhizobiales-2_RNA Published;_PMID:20230605;
RF01724  47 20 SAM-Chlorobi_RNA Published;_PMID:20230605;
#RF01725  145 880 SAM-I/IV_variant_riboswitch Published;_PMID:20230605;
RF01726  25 254 SAM-II_long_loop Published;_PMID:20230605;
RF01727  23 108 SAM/SAH_riboswitch Published;_PMID:20230605;
RF01728  89 62 STAXI_RNA Published;_PMID:20230605;
RF01729  65 28 Termite-flg_RNA Published;_PMID:20230605;
RF01730  73 42 Termite-leu_RNA Published;_PMID:20230605;
RF01731  93 422 TwoAYGGAY_RNA Published;_PMID:20230605;
RF01732  107 64 asd_RNA Published;_PMID:20230605;
RF01733  39 18 atoC_RNA Published;_PMID:20230605;
RF01734  97 600 crcB_RNA Published;_PMID:20230605;
RF01735  87 62 epsC_RNA Published;_PMID:20230605;
